owner_id,week,rank,routed,signal_id,account_id,detector,tier,deserved_reason,severity,days_to_renewal,arr_annual,agent_routed,outcome,arr_delta,attribution
u_001,2026-W28,2,True,sig_0615,acct_0047,billing_dispute,1,§8.1 mandatory-route trigger: ['billing_dispute'],P2,-93,21000,False,renewed_flat,0,none
u_001,2026-W29,1,True,sig_0623,acct_0061,exec_churn_language,1,§8.1 mandatory-route trigger: ['cancel_intent'],P0,25,75000,True,churned,-75000,uncertain
u_001,2026-W29,2,False,sig_0624,acct_0114,renewal_silence,3,no spec condition requires a human,P2,37,230000,True,renewed_flat,0,uncertain
u_002,2026-W10,1,True,sig_0015,acct_0010,exec_churn_language,1,§4.6 enrichment timed out; a signal that timed out waiting for data must still reach a human,P2,34,287500,True,renewed_flat,0,none
u_002,2026-W10,2,False,sig_0012,acct_0065,exec_churn_language,3,no spec condition requires a human,P1,305,1940000,True,pending,0,
u_002,2026-W10,3,False,sig_0030,acct_0094,seat_decay,4,no spec condition requires a human,P2,52,75000,False,renewed_late,0,uncertain
u_002,2026-W11,1,False,sig_0036,acct_0103,exec_churn_language,3,no spec condition requires a human,P1,157,1795000,False,renewed_flat,0,none
u_002,2026-W11,2,False,sig_0039,acct_0130,exec_churn_language,3,no spec condition requires a human,P1,291,192500,False,pending,0,
u_002,2026-W11,3,False,sig_0053,acct_0162,exec_churn_language,3,no spec condition requires a human,P2,15,177500,False,renewed_flat,0,none
u_002,2026-W13,1,False,sig_0083,acct_0103,seat_decay,3,no spec condition requires a human,P3,139,1795000,True,renewed_flat,0,uncertain
u_002,2026-W14,1,True,sig_0113,acct_0162,usage_cliff,1,§4.6 enrichment timed out; a signal that timed out waiting for data must still reach a human,P2,-6,177500,False,renewed_flat,0,uncertain
u_002,2026-W15,1,False,sig_0135,acct_0007,usage_cliff,4,no spec condition requires a human,P3,81,262500,False,renewed_flat,0,none
u_002,2026-W16,1,False,sig_0149,acct_0143,exec_churn_language,3,no spec condition requires a human,P1,170,180000,True,pending,0,
u_002,2026-W17,1,True,sig_0173,acct_0070,sentiment_drop,1,"§6.3 agent assigned P0/P1 with a non-benign hypothesis — §6.3 reads P0 as 'act today' and P1 as 'material risk with corroboration' (inference from the severity table, not a stated route duty)",P1,96,2125000,False,renewed_late,0,none
u_002,2026-W17,2,False,sig_0182,acct_0110,usage_cliff,4,no spec condition requires a human,P1,-1,207500,True,churned,-207500,certain
u_002,2026-W18,1,True,sig_0198,acct_0010,seat_decay,1,§8.1 mandatory-route trigger: ['legal_reference'],P2,-23,287500,True,renewed_late,0,uncertain
u_002,2026-W18,2,False,sig_0199,acct_0010,usage_cliff,3,no spec condition requires a human,P0,-23,287500,False,downgraded,-87700,uncertain
u_002,2026-W18,3,False,sig_0188,acct_0103,exec_churn_language,3,no spec condition requires a human,P2,110,1795000,False,renewed_flat,0,none
u_002,2026-W18,4,False,sig_0224,acct_0130,sentiment_drop,3,no spec condition requires a human,P2,239,192500,True,pending,0,
u_002,2026-W19,1,False,sig_0244,acct_0143,exec_churn_language,3,no spec condition requires a human,P2,150,180000,False,pending,0,
u_002,2026-W20,1,True,sig_0260,acct_0065,exec_churn_language,1,§4.6 enrichment timed out; a signal that timed out waiting for data must still reach a human,P1,233,1940000,False,pending,0,
u_002,2026-W21,1,False,sig_0273,acct_0103,billing_dispute,3,no spec condition requires a human,P2,88,1795000,False,renewed_flat,0,none
u_002,2026-W21,2,False,sig_0279,acct_0010,usage_cliff,3,no spec condition requires a human,P2,-44,287500,True,renewed_late,0,uncertain
u_002,2026-W21,3,False,sig_0309,acct_0103,seat_decay,4,no spec condition requires a human,P1,83,1795000,True,renewed_flat,0,uncertain
u_002,2026-W21,4,False,sig_0324,acct_0143,usage_cliff,4,no spec condition requires a human,P1,132,180000,False,pending,0,
u_002,2026-W22,1,True,sig_0358,acct_0062,usage_cliff,1,"§6.3 agent assigned P0/P1 with a non-benign hypothesis — §6.3 reads P0 as 'act today' and P1 as 'material risk with corroboration' (inference from the severity table, not a stated route duty)",P1,-1,2165000,True,renewed_flat,0,uncertain
u_002,2026-W22,2,True,sig_0369,acct_0110,seat_decay,1,"§6.3 agent assigned P0/P1 with a non-benign hypothesis — §6.3 reads P0 as 'act today' and P1 as 'material risk with corroboration' (inference from the severity table, not a stated route duty)",P1,-36,207500,True,renewed_flat,0,none
u_002,2026-W22,3,True,sig_0355,acct_0049,seat_decay,1,§4.6 enrichment timed out; a signal that timed out waiting for data must still reach a human,P2,45,132500,False,renewed_flat,0,none
u_002,2026-W22,4,True,sig_0346,acct_0162,exec_churn_language,1,§4.6 enrichment timed out; a signal that timed out waiting for data must still reach a human,P2,-59,177500,False,renewed_flat,0,none
u_002,2026-W22,5,False,sig_0339,acct_0070,billing_dispute,3,no spec condition requires a human,P2,63,2125000,False,renewed_expansion,590000,none
u_002,2026-W22,6,False,sig_0344,acct_0010,exec_churn_language,3,no spec condition requires a human,P2,-48,287500,False,renewed_flat,0,uncertain
u_002,2026-W22,7,False,sig_0356,acct_0049,usage_cliff,3,no spec condition requires a human,P3,45,132500,False,renewed_flat,0,none
u_002,2026-W22,8,False,sig_0342,acct_0041,ticket_storm,3,no spec condition requires a human,P3,-56,970000,True,renewed_flat,0,uncertain
u_002,2026-W22,9,False,sig_0357,acct_0062,seat_decay,4,no spec condition requires a human,P3,-1,2165000,False,renewed_flat,0,none
u_002,2026-W23,1,False,sig_0388,acct_0049,exec_churn_language,3,no spec condition requires a human,P2,42,132500,True,renewed_flat,0,uncertain
u_002,2026-W23,2,False,sig_0389,acct_0049,security_review_opened,3,no spec condition requires a human,P2,42,132500,True,renewed_flat,0,uncertain
u_002,2026-W24,1,True,sig_0412,acct_0143,sentiment_drop,1,§4.6 enrichment timed out; a signal that timed out waiting for data must still reach a human,P1,114,180000,False,pending,0,
u_002,2026-W24,2,False,sig_0419,acct_0007,exec_churn_language,3,no spec condition requires a human,P2,18,262500,True,renewed_flat,0,uncertain
u_002,2026-W24,3,False,sig_0423,acct_0010,seat_decay,4,no spec condition requires a human,P1,-65,287500,False,renewed_flat,0,none
u_002,2026-W24,4,False,sig_0420,acct_0007,seat_decay,4,no spec condition requires a human,P2,18,262500,True,renewed_flat,0,uncertain
u_002,2026-W24,5,False,sig_0487,acct_0143,seat_decay,4,no spec condition requires a human,P2,111,180000,False,pending,0,
u_002,2026-W24,6,False,sig_0421,acct_0007,usage_cliff,4,no spec condition requires a human,P3,18,262500,True,renewed_flat,0,none
u_002,2026-W24,7,False,sig_0461,acct_0094,usage_cliff,4,no spec condition requires a human,P3,-46,75000,False,renewed_flat,0,none
u_002,2026-W25,1,False,sig_0532,acct_0070,exec_churn_language,3,no spec condition requires a human,P1,37,2125000,False,renewed_flat,0,uncertain
u_002,2026-W25,2,False,sig_0518,acct_0062,exec_churn_language,3,no spec condition requires a human,P2,-18,2165000,True,renewed_late,0,uncertain
u_002,2026-W25,3,False,sig_0519,acct_0070,renewal_silence,3,no spec condition requires a human,P3,41,2125000,True,renewed_expansion,628600,uncertain
u_002,2026-W26,1,True,sig_0539,acct_0065,ticket_storm,1,§4.6 enrichment timed out; a signal that timed out waiting for data must still reach a human,P1,192,1940000,True,pending,0,
u_002,2026-W27,1,True,sig_0602,acct_0130,seat_decay,2,no spec condition requires a human,P2,176,192500,True,pending,0,
u_002,2026-W27,2,False,sig_0603,acct_0130,usage_cliff,3,no spec condition requires a human,P1,176,192500,False,pending,0,
u_002,2026-W27,3,False,sig_0575,acct_0070,billing_dispute,3,no spec condition requires a human,P3,27,2125000,False,renewed_expansion,736200,uncertain
u_002,2026-W29,1,False,sig_0627,acct_0162,exec_churn_language,3,no spec condition requires a human,P1,-106,177500,False,renewed_late,0,none
u_003,2026-W10,1,False,sig_0011,acct_0043,exec_churn_language,3,no spec condition requires a human,P1,77,225000,False,renewed_flat,0,none
u_003,2026-W11,1,False,sig_0049,acct_0071,seat_decay,3,no spec condition requires a human,P2,16,1910000,False,renewed_flat,0,none
u_003,2026-W11,2,False,sig_0050,acct_0071,usage_cliff,3,no spec condition requires a human,P2,16,1910000,True,renewed_expansion,391600,uncertain
u_003,2026-W11,3,False,sig_0044,acct_0117,renewal_silence,3,no spec condition requires a human,P2,35,147500,False,renewed_flat,0,none
u_003,2026-W11,4,False,sig_0052,acct_0116,exec_churn_language,3,no spec condition requires a human,P3,106,39000,True,renewed_flat,0,uncertain
u_003,2026-W14,1,True,sig_0121,acct_0174,seat_decay,1,§4.6 enrichment timed out; a signal that timed out waiting for data must still reach a human,P3,178,102500,True,pending,0,
u_003,2026-W14,2,True,sig_0122,acct_0174,usage_cliff,2,no spec condition requires a human,P3,178,102500,False,pending,0,
u_003,2026-W14,3,False,sig_0119,acct_0169,usage_cliff,3,no spec condition requires a human,P1,-6,51000,False,renewed_flat,0,none
u_003,2026-W14,4,False,sig_0090,acct_0169,security_review_opened,3,no spec condition requires a human,P3,-4,51000,False,renewed_flat,0,uncertain
u_003,2026-W14,5,False,sig_0105,acct_0140,usage_cliff,4,no spec condition requires a human,P1,138,177500,False,renewed_expansion,42700,uncertain
u_003,2026-W14,6,False,sig_0102,acct_0121,seat_decay,4,no spec condition requires a human,P2,62,110000,True,renewed_flat,0,none
u_003,2026-W14,7,False,sig_0104,acct_0140,seat_decay,4,no spec condition requires a human,P3,138,177500,False,renewed_flat,0,none
u_003,2026-W14,8,False,sig_0118,acct_0169,seat_decay,4,no spec condition requires a human,P3,-6,51000,True,renewed_flat,0,certain
u_003,2026-W16,1,False,sig_0144,acct_0161,sentiment_drop,3,no spec condition requires a human,P1,10,245000,False,renewed_flat,0,none
u_003,2026-W16,2,False,sig_0151,acct_0043,exec_churn_language,3,no spec condition requires a human,P3,32,225000,False,renewed_flat,0,uncertain
u_003,2026-W17,1,False,sig_0167,acct_0067,exec_churn_language,3,no spec condition requires a human,P2,30,45000,True,renewed_flat,0,uncertain
u_003,2026-W17,2,False,sig_0184,acct_0148,usage_cliff,3,no spec condition requires a human,P2,158,29000,False,pending,0,
u_003,2026-W17,3,False,sig_0183,acct_0148,seat_decay,3,no spec condition requires a human,P3,158,29000,False,pending,0,
u_003,2026-W18,1,True,sig_0194,acct_0169,billing_dispute,1,§8.1 mandatory-route trigger: ['billing_dispute'],P1,-31,51000,False,renewed_flat,0,none
u_003,2026-W18,2,True,sig_0211,acct_0071,usage_cliff,1,§4.6 enrichment timed out; a signal that timed out waiting for data must still reach a human,P2,-33,1910000,True,renewed_flat,0,certain
u_003,2026-W18,3,False,sig_0221,acct_0121,seat_decay,3,no spec condition requires a human,P1,34,110000,False,renewed_expansion,26300,uncertain
u_003,2026-W18,4,False,sig_0206,acct_0043,usage_cliff,3,no spec condition requires a human,P2,16,225000,True,renewed_flat,0,none
u_003,2026-W18,5,False,sig_0227,acct_0140,seat_decay,3,no spec condition requires a human,P2,110,177500,False,renewed_flat,0,uncertain
u_003,2026-W18,6,False,sig_0231,acct_0148,seat_decay,3,no spec condition requires a human,P2,151,29000,False,pending,0,
u_003,2026-W18,7,False,sig_0237,acct_0169,seat_decay,3,no spec condition requires a human,P2,-34,51000,False,renewed_late,0,none
u_003,2026-W18,8,False,sig_0238,acct_0169,usage_cliff,3,no spec condition requires a human,P2,-34,51000,False,renewed_flat,0,none
u_003,2026-W18,9,False,sig_0210,acct_0071,seat_decay,4,no spec condition requires a human,P2,-33,1910000,False,renewed_flat,0,uncertain
u_003,2026-W19,1,True,sig_0243,acct_0117,sentiment_drop,1,"§6.3 agent assigned P0/P1 with a non-benign hypothesis — §6.3 reads P0 as 'act today' and P1 as 'material risk with corroboration' (inference from the severity table, not a stated route duty)",P1,-16,147500,True,renewed_flat,0,uncertain
u_003,2026-W19,2,False,sig_0250,acct_0066,renewal_silence,3,no spec condition requires a human,P3,50,277500,True,renewed_flat,0,uncertain
u_003,2026-W19,3,False,sig_0253,acct_0140,usage_cliff,3,no spec condition requires a human,P3,103,177500,True,renewed_late,0,uncertain
u_003,2026-W20,1,True,sig_0271,acct_0174,seat_decay,2,no spec condition requires a human,P2,136,102500,True,pending,0,
u_003,2026-W20,2,True,sig_0265,acct_0043,seat_decay,2,no spec condition requires a human,P3,2,225000,True,renewed_flat,0,uncertain
u_003,2026-W20,3,False,sig_0269,acct_0116,seat_decay,3,no spec condition requires a human,P2,43,39000,True,renewed_flat,0,certain
u_003,2026-W20,4,False,sig_0270,acct_0116,usage_cliff,4,no spec condition requires a human,P2,43,39000,False,renewed_flat,0,none
u_003,2026-W21,1,True,sig_0332,acct_0161,usage_cliff,1,§8.1 mandatory-route trigger: ['legal_reference'],P2,-31,245000,True,renewed_flat,0,certain
u_003,2026-W21,2,True,sig_0312,acct_0116,usage_cliff,1,§4.6 enrichment timed out; a signal that timed out waiting for data must still reach a human,P3,36,39000,True,renewed_flat,0,none
u_003,2026-W21,3,False,sig_0320,acct_0134,usage_cliff,4,no spec condition requires a human,P1,38,127500,True,downgraded,-39700,uncertain
u_003,2026-W21,4,False,sig_0296,acct_0066,usage_cliff,4,no spec condition requires a human,P3,35,277500,False,renewed_flat,0,uncertain
u_003,2026-W21,5,False,sig_0298,acct_0071,usage_cliff,4,no spec condition requires a human,P3,-54,1910000,True,renewed_late,0,uncertain
u_003,2026-W21,6,False,sig_0313,acct_0117,usage_cliff,4,no spec condition requires a human,P3,-36,147500,True,renewed_flat,0,certain
u_003,2026-W22,1,False,sig_0383,acct_0174,seat_decay,3,no spec condition requires a human,P2,122,102500,False,pending,0,
u_003,2026-W22,2,False,sig_0384,acct_0174,usage_cliff,3,no spec condition requires a human,P2,122,102500,True,pending,0,
u_003,2026-W22,3,False,sig_0337,acct_0116,renewal_silence,3,no spec condition requires a human,P3,35,39000,True,renewed_flat,0,certain
u_003,2026-W22,4,False,sig_0375,acct_0140,seat_decay,4,no spec condition requires a human,P2,82,177500,False,renewed_flat,0,none
u_003,2026-W24,1,False,sig_0483,acct_0134,seat_decay,3,no spec condition requires a human,P3,17,127500,True,downgraded,-36800,uncertain
u_003,2026-W24,2,False,sig_0440,acct_0043,usage_cliff,4,no spec condition requires a human,P1,-26,225000,True,renewed_expansion,35700,uncertain
u_003,2026-W24,3,False,sig_0470,acct_0117,seat_decay,4,no spec condition requires a human,P1,-57,147500,False,renewed_flat,0,none
u_003,2026-W24,4,False,sig_0471,acct_0117,usage_cliff,4,no spec condition requires a human,P2,-57,147500,True,renewed_flat,0,none
u_003,2026-W24,5,False,sig_0499,acct_0155,seat_decay,4,no spec condition requires a human,P3,94,1510000,False,pending,0,
u_003,2026-W25,1,False,sig_0537,acct_0169,exec_churn_language,3,no spec condition requires a human,P2,-83,51000,True,renewed_flat,0,uncertain
u_003,2026-W25,2,False,sig_0529,acct_0058,seat_decay,4,no spec condition requires a human,P2,-40,2195000,True,renewed_late,0,uncertain
u_003,2026-W25,3,False,sig_0530,acct_0058,usage_cliff,4,no spec condition requires a human,P2,-40,2195000,False,renewed_flat,0,none
u_003,2026-W26,1,True,sig_0553,acct_0067,usage_cliff,1,"§6.3 agent assigned P0/P1 with a non-benign hypothesis — §6.3 reads P0 as 'act today' and P1 as 'material risk with corroboration' (inference from the severity table, not a stated route duty)",P1,-39,45000,True,renewed_flat,0,uncertain
u_003,2026-W26,2,False,sig_0540,acct_0140,renewal_silence,3,no spec condition requires a human,P2,58,177500,False,renewed_flat,0,uncertain
u_003,2026-W27,1,True,sig_0582,acct_0028,seat_decay,1,"§6.3 agent assigned P0/P1 with a non-benign hypothesis — §6.3 reads P0 as 'act today' and P1 as 'material risk with corroboration' (inference from the severity table, not a stated route duty)",P1,-96,60000,True,renewed_flat,0,uncertain
u_003,2026-W27,2,True,sig_0578,acct_0071,exec_churn_language,1,§8.1 mandatory-route trigger: ['billing_dispute'],P2,-95,1910000,False,renewed_flat,0,none
u_003,2026-W28,1,False,sig_0622,acct_0140,seat_decay,4,no spec condition requires a human,P3,40,177500,False,renewed_expansion,57300,uncertain
u_004,2026-W11,1,True,sig_0046,acct_0001,seat_decay,1,"§6.3 agent assigned P0/P1 with a non-benign hypothesis — §6.3 reads P0 as 'act today' and P1 as 'material risk with corroboration' (inference from the severity table, not a stated route duty)",P1,26,270000,True,renewed_flat,0,uncertain
u_004,2026-W11,2,True,sig_0047,acct_0001,usage_cliff,1,"§6.3 agent assigned P0/P1 with a non-benign hypothesis — §6.3 reads P0 as 'act today' and P1 as 'material risk with corroboration' (inference from the severity table, not a stated route duty)",P1,26,270000,True,downgraded,-50000,uncertain
u_004,2026-W12,1,False,sig_0063,acct_0001,seat_decay,3,no spec condition requires a human,P3,19,270000,True,downgraded,-104200,uncertain
u_004,2026-W13,1,False,sig_0079,acct_0056,seat_decay,3,no spec condition requires a human,P3,91,18000,False,renewed_expansion,2300,none
u_004,2026-W14,1,False,sig_0095,acct_0059,seat_decay,3,no spec condition requires a human,P2,-7,37000,False,renewed_expansion,10800,uncertain
u_004,2026-W14,2,False,sig_0094,acct_0055,usage_cliff,4,no spec condition requires a human,P2,19,670000,True,renewed_flat,0,uncertain
u_004,2026-W17,1,True,sig_0170,acct_0074,billing_dispute,1,§8.1 mandatory-route trigger: ['billing_dispute'],P2,66,270000,False,downgraded,-115700,uncertain
u_004,2026-W18,1,False,sig_0230,acct_0144,usage_cliff,3,no spec condition requires a human,P1,14,197500,False,renewed_flat,0,none
u_004,2026-W18,2,False,sig_0196,acct_0056,renewal_silence,3,no spec condition requires a human,P3,57,18000,True,renewed_flat,0,uncertain
u_004,2026-W18,3,False,sig_0229,acct_0144,seat_decay,4,no spec condition requires a human,P2,14,197500,True,renewed_expansion,61800,certain
u_004,2026-W19,1,False,sig_0252,acct_0056,seat_decay,3,no spec condition requires a human,P1,49,18000,True,renewed_late,0,none
u_004,2026-W20,1,True,sig_0268,acct_0055,usage_cliff,2,no spec condition requires a human,P1,-23,670000,True,renewed_flat,0,uncertain
u_004,2026-W24,1,True,sig_0426,acct_0016,seat_decay,1,§8.1 mandatory-route trigger: ['legal_reference'],P0,81,227500,False,pending,0,
u_004,2026-W24,2,True,sig_0406,acct_0016,exec_churn_language,1,"§6.3 agent assigned P0/P1 with a non-benign hypothesis — §6.3 reads P0 as 'act today' and P1 as 'material risk with corroboration' (inference from the severity table, not a stated route duty)",P1,87,227500,False,pending,0,
u_004,2026-W24,3,False,sig_0413,acct_0055,exec_churn_language,3,no spec condition requires a human,P2,-49,670000,True,renewed_flat,0,uncertain
u_004,2026-W24,4,False,sig_0410,acct_0055,exec_churn_language,3,no spec condition requires a human,P3,-48,670000,False,renewed_late,0,uncertain
u_004,2026-W24,5,False,sig_0427,acct_0016,usage_cliff,4,no spec condition requires a human,P2,81,227500,True,pending,0,
u_004,2026-W24,6,False,sig_0488,acct_0144,usage_cliff,4,no spec condition requires a human,P2,-28,197500,False,renewed_flat,0,uncertain
u_004,2026-W25,1,False,sig_0531,acct_0059,seat_decay,4,no spec condition requires a human,P2,-84,37000,False,renewed_flat,0,none
u_004,2026-W26,1,True,sig_0549,acct_0016,exec_churn_language,1,"§6.3 agent assigned P0/P1 with a non-benign hypothesis — §6.3 reads P0 as 'act today' and P1 as 'material risk with corroboration' (inference from the severity table, not a stated route duty)",P1,67,227500,True,pending,0,
u_004,2026-W26,2,True,sig_0554,acct_0074,billing_dispute,1,§8.1 mandatory-route trigger: ['billing_dispute'],P1,-1,270000,False,downgraded,-96300,none
u_004,2026-W26,3,False,sig_0552,acct_0059,usage_cliff,3,no spec condition requires a human,P1,-91,37000,False,renewed_flat,0,none
u_004,2026-W27,1,True,sig_0589,acct_0056,usage_cliff,2,no spec condition requires a human,P2,-7,18000,False,renewed_flat,0,uncertain
u_004,2026-W27,2,False,sig_0599,acct_0119,usage_cliff,4,no spec condition requires a human,P2,-101,40000,False,renewed_flat,0,none
u_005,2026-W10,1,True,sig_0017,acct_0011,exec_churn_language,1,§4.6 enrichment timed out; a signal that timed out waiting for data must still reach a human,P2,102,297500,False,renewed_flat,0,none
u_005,2026-W10,2,False,sig_0032,acct_0123,usage_cliff,3,no spec condition requires a human,P3,112,33000,True,renewed_flat,0,none
u_005,2026-W11,1,False,sig_0045,acct_0124,exec_churn_language,3,no spec condition requires a human,P2,65,140000,False,renewed_flat,0,uncertain
u_005,2026-W14,1,False,sig_0112,acct_0154,usage_cliff,3,no spec condition requires a human,P2,178,217500,True,pending,0,
u_005,2026-W14,2,False,sig_0111,acct_0154,seat_decay,4,no spec condition requires a human,P2,178,217500,True,pending,0,
u_005,2026-W15,1,False,sig_0143,acct_0177,usage_cliff,3,no spec condition requires a human,P3,11,222500,False,renewed_flat,0,none
u_005,2026-W18,1,False,sig_0239,acct_0177,usage_cliff,3,no spec condition requires a human,P3,-10,222500,False,renewed_expansion,41500,none
u_005,2026-W20,1,True,sig_0254,acct_0011,renewal_silence,1,§8.1 mandatory-route trigger: ['buyer_or_champion_departure'],P2,38,297500,False,downgraded,-117200,none
u_005,2026-W21,1,True,sig_0315,acct_0123,exec_churn_language,1,"§8.1 mandatory-route trigger: ['legal_reference', 'security_incident']",P1,35,33000,False,churned,-33000,none
u_005,2026-W21,2,True,sig_0330,acct_0154,usage_cliff,1,§4.6 enrichment timed out; a signal that timed out waiting for data must still reach a human,P2,129,217500,False,pending,0,
u_005,2026-W21,3,False,sig_0321,acct_0135,usage_cliff,4,no spec condition requires a human,P0,60,1680000,False,downgraded,-823900,uncertain
u_005,2026-W22,1,True,sig_0341,acct_0124,sentiment_drop,1,"§6.3 agent assigned P0/P1 with a non-benign hypothesis — §6.3 reads P0 as 'act today' and P1 as 'material risk with corroboration' (inference from the severity table, not a stated route duty)",P1,-8,140000,False,downgraded,-54000,uncertain
u_005,2026-W22,2,True,sig_0352,acct_0011,exec_churn_language,1,§8.1 mandatory-route trigger: ['buyer_or_champion_departure'],P2,18,297500,True,renewed_late,0,none
u_005,2026-W22,3,False,sig_0385,acct_0177,seat_decay,3,no spec condition requires a human,P3,-38,222500,True,renewed_flat,0,uncertain
u_005,2026-W22,4,False,sig_0386,acct_0177,usage_cliff,4,no spec condition requires a human,P2,-38,222500,False,renewed_late,0,none
u_005,2026-W23,1,False,sig_0402,acct_0135,seat_decay,4,no spec condition requires a human,P0,46,1680000,True,renewed_flat,0,uncertain
u_005,2026-W24,1,True,sig_0424,acct_0011,seat_decay,1,"§6.3 agent assigned P0/P1 with a non-benign hypothesis — §6.3 reads P0 as 'act today' and P1 as 'material risk with corroboration' (inference from the severity table, not a stated route duty)",P1,4,297500,True,renewed_expansion,87700,uncertain
u_005,2026-W24,2,True,sig_0474,acct_0123,seat_decay,1,"§8.1 mandatory-route trigger: ['legal_reference', 'security_incident']",P2,14,33000,True,renewed_flat,0,uncertain
u_005,2026-W24,3,False,sig_0498,acct_0154,usage_cliff,4,no spec condition requires a human,P2,108,217500,True,pending,0,
u_005,2026-W24,4,False,sig_0510,acct_0177,usage_cliff,4,no spec condition requires a human,P3,-52,222500,False,renewed_flat,0,none
u_005,2026-W25,1,False,sig_0527,acct_0011,seat_decay,4,no spec condition requires a human,P1,-3,297500,True,downgraded,-157500,uncertain
u_005,2026-W28,1,False,sig_0621,acct_0135,exec_churn_language,3,no spec condition requires a human,P1,11,1680000,False,downgraded,-574700,uncertain
u_005,2026-W29,1,False,sig_0629,acct_0011,exec_churn_language,3,no spec condition requires a human,P1,-27,297500,True,renewed_flat,0,uncertain
u_006,2026-W09,1,False,sig_0008,acct_0164,exec_churn_language,3,no spec condition requires a human,P2,180,55000,True,renewed_late,0,uncertain
u_006,2026-W11,1,True,sig_0038,acct_0107,exec_churn_language,1,§8.1 mandatory-route trigger: ['legal_reference'],P0,155,720000,True,churned,-720000,certain
u_006,2026-W12,1,False,sig_0059,acct_0111,exec_churn_language,3,no spec condition requires a human,P1,197,2245000,False,pending,0,
u_006,2026-W12,2,False,sig_0056,acct_0115,renewal_silence,3,no spec condition requires a human,P3,50,31000,True,downgraded,-10300,uncertain
